key_resp_instr_a.keys,key_resp_instr_a.rt,key_resp_instr_b.keys,key_resp_instr_b.rt,dummy.thisRepN,dummy.thisTrialN,dummy.thisN,dummy.thisIndex,dummy.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instr1.keys,key_resp_instr1.rt,key_resp.keys,key_resp.rt,exp_loop.thisRepN,exp_loop.thisTrialN,exp_loop.thisN,exp_loop.thisIndex,exp_loop.ran,Word,English,Flip,Path,Audio,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_fct.keys,key_resp_fct.corr,key_resp_fct.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,fct_loop.thisRepN,fct_loop.thisTrialN,fct_loop.thisN,fct_loop.thisIndex,fct_loop.ran,left_img,word,right_img,correctans,correct_img,audio,incorrect_feedback,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_instr3.keys,key_resp_instr3.rt,textbox.text,key_resp_2.keys,key_resp_2.rt,fb_yn.thisRepN,fb_yn.thisTrialN,fb_yn.thisN,fb_yn.thisIndex,fb_yn.ran,gather_loop.thisRepN,gather_loop.thisTrialN,gather_loop.thisN,gather_loop.thisIndex,gather_loop.ran,Text,Wordbank,key_resp_instr4.keys,key_resp_instr4.rt,master_loop.thisRepN,master_loop.thisTrialN,master_loop.thisN,master_loop.thisIndex,master_loop.ran,exposure_file,instr_1,exp_reps,fct_file,instr_2,gather_file,gather_reps,instr_3,fReps,instr_4,NegVSentence,VNegSentence,NegTF
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,space,2.9873,1,3,9,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,space,0.6121,1,4,10,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,space,3.6634,1,5,11,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,space,1.2089,2,0,12,4,1,ピポ,doctor,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,space,0.2211,2,1,13,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,space,9.5476,2,2,14,3,1,ムク,cowboy,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,space,6.1086,2,3,15,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,space,1.1594,2,4,16,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,space,0.4199,2,5,17,1,1,ルピン,burglar,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,space,3.6764,right,1,1.7441,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,11,1,CartoonStims/burglar_r.jpg,ドキ,CartoonStims/boxer_r.jpg,right,CartoonStims/boxer_r.jpg,audio/doki.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,left,1,0.7212,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,1,CartoonStims/boxer_r.jpg,ドキ,CartoonStims/artist_r.jpg,left,CartoonStims/boxer_r.jpg,audio/doki.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,right,1,1.9798,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,9,1,CartoonStims/boxer_r.jpg,ムク,CartoonStims/cowboy_r.jpg,right,CartoonStims/cowboy_r.jpg,audio/muku.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,left,1,0.7846,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,4,1,CartoonStims/doctor_r.jpg,ピポ,CartoonStims/boxer_r.jpg,left,CartoonStims/doctor_r.jpg,audio/pipo.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,right,1,1.9863,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,6,1,CartoonStims/chef_r.jpg,シド,CartoonStims/artist_r.jpg,right,CartoonStims/artist_r.jpg,audio/sido.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,left,1,0.3206,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,1,1,CartoonStims/burglar_r.jpg,ルピン,CartoonStims/chef_r.jpg,left,CartoonStims/burglar_r.jpg,audio/lupin.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,right,1,1.1873,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,8,1,CartoonStims/doctor_r.jpg,ホレト,CartoonStims/chef_r.jpg,right,CartoonStims/chef_r.jpg,audio/horeto.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,left,1,0.523,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,2,1,CartoonStims/chef_r.jpg,ホレト,CartoonStims/cowboy_r.jpg,left,CartoonStims/chef_r.jpg,audio/horeto.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,left,1,0.9384,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,0,1,CartoonStims/artist_r.jpg,シド,CartoonStims/burglar_r.jpg,left,CartoonStims/artist_r.jpg,audio/sido.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,right,1,1.2041,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,10,1,CartoonStims/artist_r.jpg,ピポ,CartoonStims/doctor_r.jpg,right,CartoonStims/doctor_r.jpg,audio/pipo.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,left,1,1.557,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,3,1,CartoonStims/cowboy_r.jpg,ムク,CartoonStims/doctor_r.jpg,left,CartoonStims/cowboy_r.jpg,audio/muku.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,right,1,0.3104,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,7,1,CartoonStims/cowboy_r.jpg,ルピン,CartoonStims/burglar_r.jpg,right,CartoonStims/burglar_r.jpg,audio/lupin.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.743,ホレト,right,13.8228,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,1,ホレト,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,シド,right,7.3776,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,シド,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ピポ,right,5.9692,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,4,1,ピポ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ムク,right,4.2206,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,ムク,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ドキ,right,3.2822,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,5,1,ドキ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ルピン,right,5.1388,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,1,1,ルピン,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,シド,right,5.0611,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,0,1,シド,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ムク,right,2.9548,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,3,1,ムク,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ドキ,right,2.4015,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,8,5,1,ドキ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ルピン,right,2.9211,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,9,1,1,ルピン,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ピポ,right,2.7195,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,10,4,1,ピポ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ホレト,right,5.3072,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_UryUcXR5uIhqtCp,2022-07-15_10h40.27.289,jpn_C02,2022.1.2,MacIntel,59.95203837,,,,,,,,,,,,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,11,2,1,ホレト,,,,,,,,,,,,,,,,,,,,,
